Unnamed,ID,Centroid,Footprint2D,State_Abbr,Area,Area2D,Height,Numfloors,WWR_surfaces,CZ,BuildingType,Standard,lat,lon,.points,index_right,City,address
269,241844943,40.72911290041925/-73.98771179388226,"POLYGON ((-73.9877135 40.7291496,-73.9877367 40.7291595,-73.9877548 40.7291581,-73.9877987 40.7291767,-73.9878017 40.7291872,-73.9878591 40.7292116,-73.9878996 40.7291565,-73.9878422 40.7291321,-73.9878288 40.7291358,-73.9877849 40.7291171,-73.9877772 40.7291044,-73.9877481 40.729092,-73.9877334 40.729112,-73.987709 40.7291016,-73.9877237 40.7290817,-73.9876947 40.7290693,-73.9876774 40.729072,-73.9876321 40.7290527,-73.9876262 40.7290402,-73.9875647 40.729014,-73.9875242 40.729069,-73.9875857 40.7290953,-73.9876031 40.7290921,-73.987647 40.7291108,-73.9876501 40.7291226,-73.9876765 40.7291339,-73.987691 40.7291268,-73.987715 40.729137,-73.9877135 40.7291496))",NY,12600,2100,66.272968,6,,4A,apartments,,40.7291129,-73.98771179,POINT (40.72911290041925 -73.98771179388226),,,139 2 Avenue
270,241844944,40.730562606755505/-73.98825783475927,"POLYGON ((-73.9882614 40.7304955,-73.9881862 40.7306019,-73.9882542 40.7306297,-73.9883295 40.7305234,-73.9882614 40.7304955))",NY,3732,933,44.29134,4,,4A,apartments,,40.73056261,-73.98825783,POINT (40.730562606755505 -73.98825783475927),,,109 East 10 Street
271,241844945,40.730225083917716/-73.98822569891796,"POLYGON ((-73.9882292 40.7301693,-73.9881658 40.7302574,-73.9882222 40.7302809,-73.9882856 40.7301927,-73.9882292 40.7301693))",NY,3230,646,54.790028,5,,4A,apartments,,40.73022508,-73.9882257,POINT (40.730225083917716 -73.98822569891796),,,118 East 10 Street
272,241844947,40.73034014999999/-73.9885364,"POLYGON ((-73.9885411 40.7302705,-73.9884618 40.7303807,-73.9885317 40.7304098,-73.988611 40.7302996,-73.9885411 40.7302705))",NY,4000,1000,51.509188,4,,4A,apartments,,40.73034015,-73.9885364,POINT (40.73034014999999 -73.9885364),,,108 East 10 Street
273,241844948,40.730064573690534/-73.98812246947672,"POLYGON ((-73.9881785 40.7300368,-73.988062 40.7300428,-73.9880664 40.7300923,-73.9881829 40.7300864,-73.9881785 40.7300368))",NY,2900,580,57.086616,5,,4A,apartments,,40.73006457,-73.98812247,POINT (40.730064573690534 -73.98812246947672),,,33 Stuyvesant Street
274,241844949,40.730068300000006/-73.98828505,"POLYGON ((-73.9883151 40.7300299,-73.9882485 40.7300333,-73.988255 40.7301067,-73.9883216 40.7301033,-73.9883151 40.7300299))",NY,2455,491,55.77428,5,,4A,apartments,,40.7300683,-73.98828505,POINT (40.730068300000006 -73.98828505),,,29 Stuyvesant Street
275,241844951,40.72982961669506/-73.98767786901274,"POLYGON ((-73.9877035 40.7297656,-73.9876404 40.7297691,-73.9876522 40.7298936,-73.9877154 40.7298901,-73.9877095 40.7298287,-73.9877035 40.7297656))",NY,3160,790,43.963256,4,,4A,apartments,,40.72982962,-73.98767787,POINT (40.72982961669506 -73.98767786901274),,,42 Stuyvesant Street
276,241844952,40.730370760615365/-73.98776635735473,"POLYGON ((-73.9877911 40.7302943,-73.9876961 40.7304286,-73.9877416 40.7304472,-73.9878366 40.730313,-73.9877911 40.7302943))",NY,3152,788,48.228348,4,,4A,apartments,,40.73037076,-73.98776636,POINT (40.730370760615365 -73.98776635735473),,,123 East 10 Street
277,241844953,40.730896400000006/-73.98811004999999,"POLYGON ((-73.9881099 40.7307964,-73.9879976 40.7309482,-73.9881102 40.7309964,-73.9882225 40.7308446,-73.9881099 40.7307964))",NY,2250,2250,36.745408,1,,4A,church,,40.7308964,-73.98811005,POINT (40.730896400000006 -73.98811004999999),,,206 East 11 Street
278,241844954,40.73024875/-73.98828259999999,"POLYGON ((-73.9882856 40.7301927,-73.9882222 40.7302809,-73.9882796 40.7303048,-73.988343 40.7302166,-73.9882856 40.7301927))",NY,3290,658,54.461944,5,,4A,apartments,,40.73024875,-73.9882826,POINT (40.73024875 -73.98828259999999),,,116 East 10 Street
